Height	theta	q	u	v
2566.571	303.618	6.662	0.0	27.542
2572.257	303.633	6.657	0.0	27.576
2577.957	303.647	6.65	0.0	27.61
2583.671	303.661	6.644	0.0	27.645
2589.4	303.675	6.638	0.0	27.679
2595.143	303.689	6.632	0.0	27.713
2600.886	303.703	6.627	0.0	27.748
2606.643	303.718	6.621	0.0	27.782
2612.4	303.732	6.616	0.0	27.817
2618.157	303.746	6.61	0.0	27.852
2623.914	303.76	6.604	0.0	27.886
2635.443	303.789	6.595	0.0	27.955
2641.229	303.803	6.59	0.0	27.99
2647.043	303.818	6.584	0.0	28.025
2652.871	303.832	6.577	0.0	28.06
2658.714	303.847	6.569	0.0	28.095
2664.571	303.861	6.56	0.0	28.13
2670.471	303.876	6.552	0.0	28.165
2676.371	303.89	6.544	0.0	28.201
2682.286	303.905	6.535	0.0	28.236
2688.214	303.92	6.526	0.0	28.272
2694.129	303.934	6.517	0.0	28.307
2700.029	303.949	6.509	0.0	28.343
2705.914	303.964	6.502	0.0	28.378
2711.786	303.978	6.494	0.0	28.413
2723.457	304.007	6.479	0.0	28.483
2729.271	304.022	6.471	0.0	28.518
2735.071	304.036	6.463	0.0	28.553
2740.886	304.05	6.454	0.0	28.588
2746.7	304.065	6.444	0.0	28.623
2752.529	304.079	6.436	0.0	28.658
2758.357	304.094	6.426	0.0	28.693
2764.186	304.108	6.417	0.0	28.728
2770.014	304.123	6.407	0.0	28.763
2775.857	304.137	6.396	0.0	28.798
2781.714	304.152	6.385	0.0	28.833
2787.586	304.166	6.374	0.0	28.868
2793.486	304.181	6.363	0.0	28.904
2799.371	304.195	6.352	0.0	28.939
2811.129	304.225	6.327	0.0	29.009
2817.0	304.239	6.314	0.0	29.045
2822.857	304.254	6.301	0.0	29.08
2828.714	304.268	6.29	0.0	29.115
2834.571	304.283	6.279	0.0	29.15
2840.429	304.297	6.267	0.0	29.185
2846.271	304.312	6.255	0.0	29.22
2852.1	304.326	6.244	0.0	29.255
2857.914	304.341	6.233	0.0	29.29
2863.714	304.355	6.222	0.0	29.325
2869.5	304.369	6.21	0.0	29.36
2875.257	304.384	6.198	0.0	29.394
2881.014	304.398	6.186	0.0	29.429
2886.771	304.412	6.174	0.0	29.463
2898.229	304.441	6.147	0.0	29.532
2903.914	304.455	6.136	0.0	29.566
2909.586	304.469	6.123	0.0	29.6
2915.229	304.483	6.112	0.0	29.634
2920.857	304.497	6.1	0.0	29.668
2926.471	304.511	6.088	0.0	29.701
2932.071	304.525	6.077	0.0	29.735
2937.643	304.539	6.064	0.0	29.768
2943.214	304.552	6.052	0.0	29.802
2948.8	304.566	6.04	0.0	29.835
2954.386	304.58	6.027	0.0	29.869
2959.971	304.594	6.015	0.0	29.902
2965.543	304.608	6.002	0.0	29.936
2971.086	304.622	5.99	0.0	29.969
2982.1	304.649	5.969	0.0	30.035
2987.586	304.663	5.959	0.0	30.068
2993.071	304.676	5.948	0.0	30.101
2998.557	304.69	5.938	0.0	30.134
3004.057	304.704	5.928	0.0	30.167
3009.586	304.717	5.917	0.0	30.2
3015.129	304.731	5.907	0.0	30.233
3020.686	304.745	5.896	0.0	30.267
3026.257	304.759	5.885	0.0	30.3
3031.829	304.773	5.873	0.0	30.334
3037.4	304.786	5.862	0.0	30.367
3042.957	304.8	5.85	0.0	30.4
3048.5	304.814	5.839	0.0	30.434
3054.043	304.828	5.83	0.0	30.467
3065.1	304.855	5.81	0.0	30.533
3070.614	304.869	5.801	0.0	30.566
3076.143	304.883	5.792	0.0	30.599
3081.686	304.897	5.783	0.0	30.633
3087.257	304.91	5.774	0.0	30.666
3092.857	304.924	5.765	0.0	30.7
3098.486	304.938	5.755	0.0	30.734
3104.143	304.952	5.745	0.0	30.767
3109.8	304.966	5.734	0.0	30.801
3115.486	304.981	5.723	0.0	30.836
3121.2	304.995	5.712	0.0	30.87
3126.943	305.009	5.701	0.0	30.904
3132.7	305.023	5.691	0.0	30.939
3138.443	305.038	5.68	0.0	30.973
3149.929	305.066	5.66	0.0	31.042
3155.686	305.081	5.65	0.0	31.077
3161.443	305.095	5.64	0.0	31.111
3167.2	305.109	5.631	0.0	31.146
3172.957	305.124	5.623	0.0	31.18
3178.686	305.138	5.616	0.0	31.215
3184.4	305.152	5.609	0.0	31.249
3190.1	305.166	5.602	0.0	31.283
3195.8	305.18	5.594	0.0	31.317
3201.5	305.195	5.587	0.0	31.352
3207.229	305.209	5.578	0.0	31.386
3212.957	305.223	5.571	0.0	31.42
3218.686	305.237	5.563	0.0	31.455
3224.386	305.252	5.555	0.0	31.489
3235.7	305.28	5.539	0.0	31.557
3241.314	305.294	5.529	0.0	31.591
3246.914	305.308	5.518	0.0	31.624
3252.5	305.322	5.507	0.0	31.658
3258.086	305.336	5.493	0.0	31.691
3263.657	305.349	5.48	0.0	31.725
3269.229	305.363	5.465	0.0	31.758
3274.771	305.377	5.451	0.0	31.791
3280.3	305.391	5.438	0.0	31.824
3285.8	305.405	5.425	0.0	31.857
3291.3	305.418	5.412	0.0	31.89
3296.8	305.432	5.398	0.0	31.923
3302.286	305.446	5.385	0.0	31.956
3307.757	305.459	5.373	0.0	31.989
3318.643	305.486	5.349	0.0	32.054
3324.057	305.5	5.336	0.0	32.087
3329.457	305.513	5.324	0.0	32.119
